"Taxa","blue","Env","pop1","pop2","pop3","pop4","pop5","pop6","SNPPresence","EnvPresence","SNPAbsence","Phenotype"
1,58.66812265,"Env1",0.528,0.048,0.008,0.394,0.003,0.015,0,1,1,56.8086013647051
5,59.98940552,"Env1",0.018,0.429,0.068,0.055,0.382,0.042,1,1,0,71.3614967189475
6,57.91461163,"Env1",0.073,0.89,0.024,0.004,0.002,0.004,1,1,0,68.2164473066776
7,63.58945971,"Env1",0.013,0.005,0.007,0.172,0.782,0.017,0,1,1,58.7656959996083
8,59.55040864,"Env1",0.005,0.004,0.013,0.192,0.77,0.012,1,1,0,72.2141997599645
10,54.64185504,"Env1",0.014,0.006,0.003,0.006,0.007,0.452,1,1,0,58.2290058660973
11,62.22139134,"Env1",0.003,0.005,0.272,0.004,0.008,0.004,0,1,1,62.8134564209407
12,48.16059552,"Env1",0.965,0.006,0.002,0.002,0.003,0.02,0,1,1,45.6735300903364
14,56.11236766,"Env1",0.949,0.003,0.037,0.005,0.002,0.002,0,1,1,52.9696093354158
18,64.09388159,"Env1",0.003,0.565,0.01,0.023,0.005,0.208,1,1,0,79.5054701568832
19,45.70601293,"Env1",0.686,0.007,0.007,0.005,0.005,0.045,1,1,0,53.6323657834391
20,58.73398034,"Env1",0.002,0.002,0.003,0.002,0.981,0.007,1,1,0,74.4091741187352
22,52.6045866,"Env1",0.694,0.046,0.01,0.011,0.158,0.007,0,1,1,40.5876482822007
25,50.10543997,"Env1",0.898,0.006,0.003,0.003,0.003,0.004,1,1,0,54.9352680557795
26,68.5653625,"Env1",0.038,0.005,0.019,0.008,0.918,0.005,0,1,1,66.6445156092031
28,58.62091806,"Env1",0.906,0.035,0.003,0.003,0.003,0.047,0,1,1,52.3573952430638
29,64.32923089,"Env1",0.008,0.013,0.01,0.002,0.904,0.009,1,1,0,76.4661693809281
30,59.45640936,"Env1",0.015,0.024,0.009,0.005,0.057,0.879,0,1,1,50.5798886448828
31,60.63494715,"Env1",0.003,0.002,0.005,0.032,0.947,0.006,1,1,0,72.159324917459
32,50.89892271,"Env1",0.442,0.006,0.463,0.077,0.004,0.006,1,1,0,63.2745279329383
35,47.64454275,"Env1",0.363,0.151,0.008,0.003,0.024,0.059,0,1,1,49.5935755803046
37,48.68485143,"Env1",0.982,0.002,0.002,0.002,0.005,0.003,1,1,0,55.9066167472395
38,53.20608033,"Env1",0.585,0.11,0.25,0.004,0.035,0.008,0,1,1,44.6901453870007
41,46.09061113,"Env1",0.03,0.927,0.024,0.002,0.005,0.007,1,1,0,57.0760153357475
43,48.0050489,"Env1",0.567,0.003,0.154,0.004,0.057,0.212,0,1,1,48.9886527333195
44,60.77988184,"Env1",0.12,0.006,0.008,0.008,0.002,0.004,1,1,0,70.2048408729562
45,46.27793766,"Env1",0.068,0.104,0.199,0.005,0.003,0.007,0,1,1,45.3924249159086
46,48.25465194,"Env1",0.043,0.05,0.487,0.024,0.329,0.043,0,1,1,47.0634904472498
47,67.71688211,"Env1",0.002,0.004,0.003,0.003,0.026,0.008,0,1,1,58.3935486889062
48,48.05583743,"Env1",0.952,0.008,0.007,0.01,0.009,0.009,0,1,1,41.064802756228
52,52.34333125,"Env1",0.002,0.935,0.015,0.005,0.008,0.029,0,1,1,43.8719983382319
53,56.53355809,"Env1",0.371,0.07,0.007,0.002,0.017,0.008,0,1,1,57.6406156402888
55,57.05581093,"Env1",0.949,0.003,0.037,0.005,0.002,0.002,0,1,1,50.4339602893235
56,50.04304747,"Env1",0.005,0.794,0.036,0.003,0.021,0.056,0,1,1,43.6982422974489
57,53.25854102,"Env1",0.003,0.895,0.004,0.007,0.005,0.069,0,1,1,47.561880404465
58,49.34992086,"Env1",0.641,0.187,0.005,0.035,0.004,0.122,1,1,0,57.3832814804827
60,59.61742669,"Env1",0.591,0.02,0.012,0.363,0.003,0.004,0,1,1,57.3738098111269
61,52.54150307,"Env1",0.751,0.041,0.132,0.014,0.048,0.008,1,1,0,68.0792932542046
62,49.63530868,"Env1",0.012,0.01,0.007,0.005,0.891,0.017,0,1,1,43.097088140264
64,57.55144838,"Env1",0.61,0.01,0.004,0.004,0.025,0.105,1,1,0,60.5226970891142
67,44.82909047,"Env1",0.133,0.594,0.256,0.004,0.004,0.005,1,1,0,54.661743946737
69,64.38363378,"Env1",0.003,0.013,0.008,0.003,0.667,0.068,0,1,1,59.9805101190393
70,47.26990936,"Env1",0.005,0.98,0.005,0.002,0.002,0.003,0,1,1,45.0573617303644
71,55.36154591,"Env1",0.029,0.15,0.004,0.091,0.711,0.01,1,1,0,65.746839207789
73,53.12564295,"Env1",0.752,0.003,0.032,0.203,0.003,0.002,1,1,0,70.1589157933064
74,49.26996516,"Env1",0.011,0.004,0.961,0.002,0.003,0.016,1,1,0,58.5699531126557
75,50.60863293,"Env1",0.005,0.003,0.004,0.914,0.004,0.056,1,1,0,66.1020065604628
76,53.65198057,"Env1",0.458,0.014,0.004,0.03,0.059,0.426,0,1,1,55.793278390362
77,63.70369483,"Env1",0.009,0.003,0.961,0.002,0.011,0.004,0,1,1,58.0880326185118
78,62.14795099,"Env1",0.009,0.427,0.006,0.003,0.026,0.034,0,1,1,59.7597210124101
79,64.94962621,"Env1",0.009,0.004,0.004,0.002,0.881,0.043,0,1,1,58.6913338348279
82,71.04654606,"Env1",0.002,0.002,0.003,0.002,0.002,0.006,0,1,1,70.6519136440282
83,52.05267388,"Env1",0.964,0.003,0.004,0.021,0.002,0.003,1,1,0,67.1705441856969
84,57.38481661,"Env1",0.002,0.002,0.457,0.005,0.527,0.003,1,1,0,62.4685874967755
85,50.51348994,"Env1",0.004,0.002,0.01,0.979,0.002,0.002,1,1,0,57.1874399771859
87,70.30214531,"Env1",0.105,0.012,0.035,0.003,0.024,0.004,0,1,1,72.6402823124481
88,48.93070704,"Env1",0.746,0.187,0.009,0.005,0.006,0.045,1,1,0,58.9882818572754
89,60.88747804,"Env1",0.002,0.002,0.002,0.002,0.002,0.002,1,1,0,79.7868701019802
90,57.78758472,"Env1",0.975,0.002,0.014,0.002,0.002,0.002,0,1,1,57.3702360471055
91,48.38744826,"Env1",0.003,0.003,0.002,0.002,0.002,0.982,1,1,0,64.8605483428721
92,47.08594765,"Env1",0.985,0.005,0.002,0.002,0.002,0.002,0,1,1,42.6040229701862
93,60.64075967,"Env1",0.002,0.002,0.002,0.989,0.002,0.002,0,1,1,58.0542029843823
94,59.15313845,"Env1",0.007,0.004,0.004,0.03,0.798,0.155,1,1,0,67.6772229192641
95,45.54809247,"Env1",0.504,0.006,0.009,0.006,0.005,0.466,0,1,1,42.9301353670718
96,58.99715449,"Env1",0.009,0.046,0.006,0.003,0.005,0.926,1,1,0,65.7239184889685
97,63.48583681,"Env1",0.003,0.004,0.983,0.004,0.002,0.003,1,1,0,73.0127580738078
98,46.40761191,"Env1",0.093,0.791,0.051,0.016,0.004,0.041,1,1,0,57.8240628852954
99,51.75141,"Env1",0.142,0.481,0.005,0.286,0.005,0.017,0,1,1,59.5999126535594
100,50.2508573,"Env1",0.916,0.006,0.004,0.003,0.004,0.003,1,1,0,71.1399391806303
101,58.08332292,"Env1",0.002,0.006,0.212,0.034,0.01,0.717,0,1,1,51.947024559702
102,51.02294044,"Env1",0.005,0.004,0.003,0.975,0.008,0.004,0,1,1,45.2561437334335
103,65.54319637,"Env1",0.003,0.029,0.007,0.007,0.929,0.016,0,1,1,63.5264929685943
104,57.84485063,"Env1",0.003,0.981,0.003,0.002,0.004,0.004,0,1,1,57.0095186911364
105,54.21555563,"Env1",0.974,0.003,0.002,0.015,0.002,0.002,0,1,1,55.4671759886177
106,58.79205357,"Env1",0.002,0.005,0.004,0.02,0.909,0.055,0,1,1,57.5896546912149
107,47.29646433,"Env1",0.983,0.005,0.002,0.002,0.002,0.002,0,1,1,49.981329479978
108,50.48762507,"Env1",0.905,0.066,0.009,0.002,0.003,0.01,1,1,0,60.2670920522539
109,59.06215099,"Env1",0.004,0.268,0.105,0.583,0.006,0.032,0,1,1,54.3548744872146
110,48.68767843,"Env1",0.688,0.011,0.004,0.107,0.004,0.172,0,1,1,47.1909566156161
111,65.51690213,"Env1",0.009,0.003,0.003,0.023,0.957,0.003,1,1,0,70.3420840328466
112,57.26454061,"Env1",0.004,0.006,0.006,0.383,0.013,0.103,1,1,0,63.6177988176973
114,50.51061601,"Env1",0.004,0.078,0.898,0.002,0.009,0.004,0,1,1,40.5813861007868
115,66.32561882,"Env1",0.003,0.003,0.002,0.003,0.003,0.008,0,1,1,68.0178363733494
117,48.67667732,"Env1",0.529,0.446,0.002,0.002,0.006,0.005,1,1,0,65.0621765574059
118,46.59120385,"Env1",0.052,0.932,0.003,0.003,0.003,0.005,1,1,0,62.1005806284989
119,51.35269925,"Env1",0.272,0.112,0.041,0.022,0.441,0.108,1,1,0,60.8738792485583
120,71.01621731,"Env1",0.006,0.003,0.245,0.204,0.509,0.008,0,1,1,64.1355827462451
121,59.11322727,"Env1",0.002,0.003,0.004,0.007,0.004,0.003,0,1,1,55.6917025973219
122,62.99044318,"Env1",0.002,0.003,0.98,0.007,0.002,0.005,1,1,0,72.0168460487503
124,48.51050523,"Env1",0.029,0.019,0.005,0.003,0.003,0.938,1,1,0,63.7732685920207
1,58.66812265,"Env2",0.528,0.048,0.008,0.394,0.003,0.015,0,0,1,56.4865756820866
5,59.98940552,"Env2",0.018,0.429,0.068,0.055,0.382,0.042,1,0,0,67.8358906958514
6,57.91461163,"Env2",0.073,0.89,0.024,0.004,0.002,0.004,1,0,0,65.3943668867406
7,63.58945971,"Env2",0.013,0.005,0.007,0.172,0.782,0.017,0,0,1,60.877679774191
8,59.55040864,"Env2",0.005,0.004,0.013,0.192,0.77,0.012,1,0,0,65.5947709749871
10,54.64185504,"Env2",0.014,0.006,0.003,0.006,0.007,0.452,1,0,0,60.7425335038665
11,62.22139134,"Env2",0.003,0.005,0.272,0.004,0.008,0.004,0,0,1,66.1419156021924
12,48.16059552,"Env2",0.965,0.006,0.002,0.002,0.003,0.02,0,0,1,47.245304629054
14,56.11236766,"Env2",0.949,0.003,0.037,0.005,0.002,0.002,0,0,1,50.7421029413024
18,64.09388159,"Env2",0.003,0.565,0.01,0.023,0.005,0.208,1,0,0,66.2859895434006
19,45.70601293,"Env2",0.686,0.007,0.007,0.005,0.005,0.045,1,0,0,45.9874805095607
20,58.73398034,"Env2",0.002,0.002,0.003,0.002,0.981,0.007,1,0,0,65.4782146544819
22,52.6045866,"Env2",0.694,0.046,0.01,0.011,0.158,0.007,0,0,1,48.7596275687599
25,50.10543997,"Env2",0.898,0.006,0.003,0.003,0.003,0.004,1,0,0,54.4439045620953
26,68.5653625,"Env2",0.038,0.005,0.019,0.008,0.918,0.005,0,0,1,74.3951498926183
28,58.62091806,"Env2",0.906,0.035,0.003,0.003,0.003,0.047,0,0,1,56.6203541987015
29,64.32923089,"Env2",0.008,0.013,0.01,0.002,0.904,0.009,1,0,0,71.4597377777087
30,59.45640936,"Env2",0.015,0.024,0.009,0.005,0.057,0.879,0,0,1,60.3649875162281
31,60.63494715,"Env2",0.003,0.002,0.005,0.032,0.947,0.006,1,0,0,62.893303356242
32,50.89892271,"Env2",0.442,0.006,0.463,0.077,0.004,0.006,1,0,0,56.0516508692641
35,47.64454275,"Env2",0.363,0.151,0.008,0.003,0.024,0.059,0,0,1,44.4850543091782
37,48.68485143,"Env2",0.982,0.002,0.002,0.002,0.005,0.003,1,0,0,61.2555615835107
38,53.20608033,"Env2",0.585,0.11,0.25,0.004,0.035,0.008,0,0,1,56.1054164398247
41,46.09061113,"Env2",0.03,0.927,0.024,0.002,0.005,0.007,1,0,0,53.4416903917538
43,48.0050489,"Env2",0.567,0.003,0.154,0.004,0.057,0.212,0,0,1,51.1245629607421
44,60.77988184,"Env2",0.12,0.006,0.008,0.008,0.002,0.004,1,0,0,75.7005280759072
45,46.27793766,"Env2",0.068,0.104,0.199,0.005,0.003,0.007,0,0,1,48.2903904311354
46,48.25465194,"Env2",0.043,0.05,0.487,0.024,0.329,0.043,0,0,1,49.4512264303298
47,67.71688211,"Env2",0.002,0.004,0.003,0.003,0.026,0.008,0,0,1,67.5572194727826
48,48.05583743,"Env2",0.952,0.008,0.007,0.01,0.009,0.009,0,0,1,42.5454514390227
52,52.34333125,"Env2",0.002,0.935,0.015,0.005,0.008,0.029,0,0,1,47.5453097316409
53,56.53355809,"Env2",0.371,0.07,0.007,0.002,0.017,0.008,0,0,1,55.919559971292
55,57.05581093,"Env2",0.949,0.003,0.037,0.005,0.002,0.002,0,0,1,52.1617400929247
56,50.04304747,"Env2",0.005,0.794,0.036,0.003,0.021,0.056,0,0,1,44.8738386664898
57,53.25854102,"Env2",0.003,0.895,0.004,0.007,0.005,0.069,0,0,1,50.4231228469284
58,49.34992086,"Env2",0.641,0.187,0.005,0.035,0.004,0.122,1,0,0,58.520088912424
60,59.61742669,"Env2",0.591,0.02,0.012,0.363,0.003,0.004,0,0,1,56.9403223830711
61,52.54150307,"Env2",0.751,0.041,0.132,0.014,0.048,0.008,1,0,0,59.207923307325
62,49.63530868,"Env2",0.012,0.01,0.007,0.005,0.891,0.017,0,0,1,49.4267590047427
64,57.55144838,"Env2",0.61,0.01,0.004,0.004,0.025,0.105,1,0,0,63.6103108241019
67,44.82909047,"Env2",0.133,0.594,0.256,0.004,0.004,0.005,1,0,0,51.4106917149459
69,64.38363378,"Env2",0.003,0.013,0.008,0.003,0.667,0.068,0,0,1,65.9059262624449
70,47.26990936,"Env2",0.005,0.98,0.005,0.002,0.002,0.003,0,0,1,47.2511091304442
71,55.36154591,"Env2",0.029,0.15,0.004,0.091,0.711,0.01,1,0,0,55.4681424127651
73,53.12564295,"Env2",0.752,0.003,0.032,0.203,0.003,0.002,1,0,0,56.2637192881889
74,49.26996516,"Env2",0.011,0.004,0.961,0.002,0.003,0.016,1,0,0,48.1036220160978
75,50.60863293,"Env2",0.005,0.003,0.004,0.914,0.004,0.056,1,0,0,53.0177146938112
76,53.65198057,"Env2",0.458,0.014,0.004,0.03,0.059,0.426,0,0,1,52.8968079275221
77,63.70369483,"Env2",0.009,0.003,0.961,0.002,0.011,0.004,0,0,1,61.271298487296
78,62.14795099,"Env2",0.009,0.427,0.006,0.003,0.026,0.034,0,0,1,63.3685510165376
79,64.94962621,"Env2",0.009,0.004,0.004,0.002,0.881,0.043,0,0,1,65.7147943107156
82,71.04654606,"Env2",0.002,0.002,0.003,0.002,0.002,0.006,0,0,1,66.309803461076
83,52.05267388,"Env2",0.964,0.003,0.004,0.021,0.002,0.003,1,0,0,58.8306218608729
84,57.38481661,"Env2",0.002,0.002,0.457,0.005,0.527,0.003,1,0,0,67.7551869382337
85,50.51348994,"Env2",0.004,0.002,0.01,0.979,0.002,0.002,1,0,0,60.255896119912
87,70.30214531,"Env2",0.105,0.012,0.035,0.003,0.024,0.004,0,0,1,75.9853096059206
88,48.93070704,"Env2",0.746,0.187,0.009,0.005,0.006,0.045,1,0,0,54.2522405501069
89,60.88747804,"Env2",0.002,0.002,0.002,0.002,0.002,0.002,1,0,0,65.7283144103017
90,57.78758472,"Env2",0.975,0.002,0.014,0.002,0.002,0.002,0,0,1,61.2111154840268
91,48.38744826,"Env2",0.003,0.003,0.002,0.002,0.002,0.982,1,0,0,55.3376409066298
92,47.08594765,"Env2",0.985,0.005,0.002,0.002,0.002,0.002,0,0,1,40.3466079163337
93,60.64075967,"Env2",0.002,0.002,0.002,0.989,0.002,0.002,0,0,1,62.3418808439672
94,59.15313845,"Env2",0.007,0.004,0.004,0.03,0.798,0.155,1,0,0,68.9739024169518
95,45.54809247,"Env2",0.504,0.006,0.009,0.006,0.005,0.466,0,0,1,40.4623402941363
96,58.99715449,"Env2",0.009,0.046,0.006,0.003,0.005,0.926,1,0,0,65.0727362171873
97,63.48583681,"Env2",0.003,0.004,0.983,0.004,0.002,0.003,1,0,0,71.2152823857047
98,46.40761191,"Env2",0.093,0.791,0.051,0.016,0.004,0.041,1,0,0,53.8641304011039
99,51.75141,"Env2",0.142,0.481,0.005,0.286,0.005,0.017,0,0,1,49.2442630902379
100,50.2508573,"Env2",0.916,0.006,0.004,0.003,0.004,0.003,1,0,0,57.2994129794851
101,58.08332292,"Env2",0.002,0.006,0.212,0.034,0.01,0.717,0,0,1,59.254563585117
102,51.02294044,"Env2",0.005,0.004,0.003,0.975,0.008,0.004,0,0,1,48.7718117241826
103,65.54319637,"Env2",0.003,0.029,0.007,0.007,0.929,0.016,0,0,1,66.1434850627151
104,57.84485063,"Env2",0.003,0.981,0.003,0.002,0.004,0.004,0,0,1,55.6310353091813
105,54.21555563,"Env2",0.974,0.003,0.002,0.015,0.002,0.002,0,0,1,48.9194054679123
106,58.79205357,"Env2",0.002,0.005,0.004,0.02,0.909,0.055,0,0,1,65.7160693897362
107,47.29646433,"Env2",0.983,0.005,0.002,0.002,0.002,0.002,0,0,1,49.3856258030578
108,50.48762507,"Env2",0.905,0.066,0.009,0.002,0.003,0.01,1,0,0,48.0597632625362
109,59.06215099,"Env2",0.004,0.268,0.105,0.583,0.006,0.032,0,0,1,57.8257355628276
110,48.68767843,"Env2",0.688,0.011,0.004,0.107,0.004,0.172,0,0,1,54.8786446909099
111,65.51690213,"Env2",0.009,0.003,0.003,0.023,0.957,0.003,1,0,0,80.0812265234704
112,57.26454061,"Env2",0.004,0.006,0.006,0.383,0.013,0.103,1,0,0,68.9033486022739
114,50.51061601,"Env2",0.004,0.078,0.898,0.002,0.009,0.004,0,0,1,51.2614049407013
115,66.32561882,"Env2",0.003,0.003,0.002,0.003,0.003,0.008,0,0,1,62.1253224786514
117,48.67667732,"Env2",0.529,0.446,0.002,0.002,0.006,0.005,1,0,0,60.2943581875977
118,46.59120385,"Env2",0.052,0.932,0.003,0.003,0.003,0.005,1,0,0,57.0434590233824
119,51.35269925,"Env2",0.272,0.112,0.041,0.022,0.441,0.108,1,0,0,56.2576502148143
120,71.01621731,"Env2",0.006,0.003,0.245,0.204,0.509,0.008,0,0,1,67.4685363410687
121,59.11322727,"Env2",0.002,0.003,0.004,0.007,0.004,0.003,0,0,1,53.1210021736747
122,62.99044318,"Env2",0.002,0.003,0.98,0.007,0.002,0.005,1,0,0,76.1681953181234
124,48.51050523,"Env2",0.029,0.019,0.005,0.003,0.003,0.938,1,0,0,59.3176724925551
